Role_ID,Role_Title,Role_Description,Required_Skills
JOB_001,Data Analyst,"Looking for a Data Analyst with strong ability to interpret complex datasets and present findings. Must be proficient in SQL and Statistics.","SQL, Statistics, Data Interpretation, Communication"
JOB_002,Software Engineer (Backend),"Backend developer needed to build scalable APIs. Strong algorithmic skills and Python/Java experience required.","Python, Java, Algorithms, System Architecture, API"
JOB_003,Sales Manager,"Experienced Sales Manager to lead a team and drive revenue. Must have excellent negotiation and leadership skills.","Negotiation, Leadership, Sales, Communication"
JOB_004,Customer Support Specialist,"Support specialist to handle customer inquiries with empathy and efficiency. Fast typing and attention to detail needed.","Communication, Empathy, Attention to Detail, Problem Solving"
JOB_005,Mechanical Engineer,"Mechanical Engineer with knowledge of physics and machinery. Spatial reasoning is key.","Physics, Mechanics, Spatial Reasoning, Engineering"
JOB_006,Product Manager,"Product Manager to oversee product lifecycle. Strategic thinking and data-driven decision making required.","Strategy, Product Management, Data Analysis, Leadership"
JOB_007,Frontend Developer,"Frontend developer to create responsive UIs. proficiency in React and CSS is a must.","React, JavaScript, CSS, HTML, UI Design"
JOB_008,Accountant,"Detail-oriented Accountant to manage financial records. High accuracy and Excel proficiency required.","Excel, Accounting, Accuracy, Attention to Detail"
JOB_009,HR Business Partner,"HR professional to manage employee relations and recruitment. Strong interpersonal skills needed.","Communication, Empathy, Management, Conflict Resolution"
JOB_010,Data Scientist,"Data Scientist to build ML models. strong math and coding skills required.","Python, Machine Learning, Statistics, Mathematics"
JOB_011,Executive Assistant,"Organized assistant to manage schedule and logistics. Multi-tasking and planning skills.","Planning, Organization, Communication, Time Management"
JOB_012,Graphic Designer,"Creative designer for marketing materials. Innovation and visual eye required.","Creativity, Design, Adobe Suite, Visual Communication"
JOB_013,Network Engineer,"Engineer to maintain network infrastructure. Knowledge of protocols and hardware.","Networking, Hardware, Troubleshooting, System Administration"
JOB_014,Content Writer,"Writer to create engaging content. Excellent grammar and vocabulary needed.","Writing, Grammar, Creativity, Research"
JOB_015,Research Scientist,"Researcher to conduct experiments and analyze results. Logical reasoning and critical thinking.","Research, Analysis, Logical Reasoning, Critical Thinking"
